epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2014,2.44258,3.70264,0.92634,0,0,0,0,1.89322,3.60661,0.89978,0.09602,2e-05,2e-05
2,18.6226,2.59544,3.48722,0.90878,0.22444,0.47867,0.18898,0.07485,2.08099,3.17547,0.86272,0.0910449,4.49109e-05,4.49109e-05
3,20.6273,2.69128,2.65101,0.84394,0.11667,0.24882,0.08986,0.01837,3.75674,2.94377,0.99597,0.0860697,6.97228e-05,6.97228e-05
4,23.8114,2.42619,2.00426,0.81896,0.13111,0.27962,0.1094,0.02492,3.64994,2.76433,0.97552,0.0810944,9.44357e-05,9.44357e-05
5,25.8943,2.31278,1.8611,0.81697,0.23889,0.50948,0.31715,0.08283,2.92788,2.76835,0.91598,0.076119,0.00011905,0.00011905
6,39.795,2.3615,1.74415,0.81856,0.24778,0.52844,0.31685,0.07837,3.00217,2.75451,0.92008,0.0711436,0.000143565,0.000143565
7,41.6268,2.14547,1.53786,0.81091,0.28778,0.61374,0.39897,0.10488,2.93604,2.69077,0.91414,0.066168,0.00016798,0.00016798
8,45.6427,2.047,1.46429,0.80489,0.34444,0.7346,0.56572,0.17018,2.63599,2.73169,0.89344,0.0611923,0.000192297,0.000192297
9,47.5557,1.8958,1.27914,0.79213,0.37556,0.80095,0.67394,0.23471,2.39771,2.83875,0.87718,0.0562165,0.000216515,0.000216515
10,51.559,1.844,1.21958,0.79128,0.38778,0.82701,0.72291,0.29091,2.24422,2.88597,0.86892,0.0512406,0.000240634,0.000240634
11,55.9949,2.05923,1.19121,0.79925,0.38333,0.81754,0.72748,0.25826,2.37872,2.91602,0.87799,0.0462647,0.000264654,0.000264654
12,57.7763,2.11769,1.26707,0.7933,0.40889,0.87204,0.79182,0.3749,1.95521,2.86539,0.8466,0.0412886,0.000288575,0.000288575
13,59.73,2.1068,1.11046,0.79537,0.41667,0.88863,0.80865,0.40311,1.86276,2.82541,0.83932,0.0363124,0.000312397,0.000312397
14,65.3074,2.15648,1.22288,0.7881,0.41667,0.88863,0.8159,0.40052,1.87392,2.735,0.83885,0.0313361,0.00033612,0.00033612
15,67.2316,1.89926,1.05861,0.79492,0.42111,0.8981,0.82682,0.41713,1.79756,2.64482,0.83488,0.0263597,0.000359744,0.000359744
16,69.1145,1.75695,0.96805,0.79597,0.42222,0.90047,0.83339,0.43427,1.7765,2.59876,0.8363,0.0213833,0.000383268,0.000383268
17,71.1218,1.99942,1.12333,0.78829,0.43222,0.9218,0.84142,0.41945,1.82157,2.52486,0.84138,0.0164067,0.000406694,0.000406694
18,73.0406,1.81771,0.98783,0.79574,0.43333,0.92417,0.84122,0.42396,1.78111,2.48473,0.84069,0.01143,0.000430021,0.000430021
19,75.0287,1.84508,0.99588,0.78736,0.42778,0.91232,0.82706,0.41006,1.80989,2.45815,0.84306,0.00645325,0.000453249,0.000453249
20,82.0089,1.86359,1.00115,0.78229,0.42889,0.91469,0.80184,0.41601,1.77012,2.3914,0.84316,0.00147638,0.000476378,0.000476378
21,84.7913,1.76791,0.99867,0.78844,0.43111,0.91943,0.79813,0.41724,1.72834,2.32768,0.83964,0.0004802,0.0004802,0.0004802
22,86.604,1.86754,0.99653,0.78959,0.43111,0.91943,0.79005,0.41014,1.72961,2.2639,0.83757,0.00047921,0.00047921,0.00047921
23,95.7735,1.93664,1.00165,0.77924,0.43111,0.91943,0.78325,0.40025,1.75321,2.18964,0.83911,0.00047822,0.00047822,0.00047822
24,97.5914,1.81488,0.90442,0.78652,0.43,0.91706,0.79585,0.38917,1.80803,1.96006,0.84505,0.00047723,0.00047723,0.00047723
25,99.2613,1.85776,0.93484,0.78211,0.43444,0.92654,0.79852,0.40585,1.76807,1.79761,0.84322,0.00047624,0.00047624,0.00047624
26,101.036,1.89811,0.98201,0.78576,0.67698,0.87678,0.8097,0.42732,1.70761,1.63503,0.84015,0.00047525,0.00047525,0.00047525
27,103.582,1.89534,0.98243,0.78764,0.78506,0.72986,0.81694,0.42358,1.72294,1.48166,0.84003,0.00047426,0.00047426,0.00047426
28,105.852,1.75387,0.91871,0.78497,0.75265,0.81517,0.82567,0.42862,1.7224,1.30037,0.84027,0.00047327,0.00047327,0.00047327
29,109.777,1.78063,0.93739,0.77892,0.80083,0.79621,0.83474,0.45388,1.6804,1.17242,0.83675,0.00047228,0.00047228,0.00047228
30,113.939,1.66646,0.92344,0.77661,0.80131,0.80095,0.85393,0.46006,1.7054,1.06289,0.83836,0.00047129,0.00047129,0.00047129
31,119.325,1.81968,0.92175,0.78223,0.81295,0.79858,0.8611,0.45968,1.72731,1.03257,0.84003,0.0004703,0.0004703,0.0004703
32,121.421,1.88563,0.93984,0.77606,0.79912,0.81991,0.85571,0.45139,1.75781,1.09569,0.84175,0.00046931,0.00046931,0.00046931
33,123.855,1.93895,0.93621,0.79421,0.80833,0.80946,0.84965,0.45168,1.74819,1.08579,0.84225,0.00046832,0.00046832,0.00046832
34,126.163,1.87697,0.97393,0.78755,0.81502,0.80395,0.85473,0.47313,1.66923,1.03228,0.83764,0.00046733,0.00046733,0.00046733
35,128.099,1.92076,0.91834,0.78346,0.81461,0.81043,0.85998,0.4768,1.65966,0.9887,0.83728,0.00046634,0.00046634,0.00046634
36,129.874,2.11349,1.20522,0.77187,0.79896,0.81931,0.8723,0.45395,1.79621,0.95971,0.84729,0.00046535,0.00046535,0.00046535
37,131.627,2.01735,0.99209,0.77656,0.79989,0.82406,0.86924,0.43806,1.8575,0.96998,0.8514,0.00046436,0.00046436,0.00046436
38,136.24,1.85353,0.90345,0.77767,0.80733,0.82464,0.86343,0.45104,1.83371,0.97077,0.84978,0.00046337,0.00046337,0.00046337
39,138.021,1.7808,0.89932,0.78208,0.81066,0.82178,0.86273,0.4608,1.77721,0.95681,0.84545,0.00046238,0.00046238,0.00046238
40,139.851,1.79191,0.87318,0.78324,0.81137,0.81991,0.86592,0.45905,1.76175,0.93119,0.8442,0.00046139,0.00046139,0.00046139
41,142.954,1.77572,0.89438,0.77674,0.8267,0.81517,0.86955,0.45877,1.76092,0.91171,0.84308,0.0004604,0.0004604,0.0004604
42,144.759,1.68621,0.85002,0.77757,0.85596,0.81754,0.88208,0.47081,1.7319,0.88128,0.84062,0.00045941,0.00045941,0.00045941
43,146.509,1.74001,0.87024,0.78013,0.85102,0.81754,0.87949,0.48039,1.6858,0.85591,0.83795,0.00045842,0.00045842,0.00045842
44,151.771,1.60134,0.82476,0.77703,0.84747,0.81517,0.87359,0.48645,1.65997,0.84519,0.83716,0.00045743,0.00045743,0.00045743
45,162.604,1.56603,0.80684,0.7732,0.8441,0.81754,0.87401,0.48168,1.69018,0.85563,0.83847,0.00045644,0.00045644,0.00045644
46,168.451,1.61018,0.85894,0.7765,0.83856,0.82227,0.8795,0.47257,1.73755,0.86821,0.84205,0.00045545,0.00045545,0.00045545
47,172.088,1.72459,0.84778,0.78461,0.81061,0.84123,0.87496,0.47376,1.73534,0.88528,0.84161,0.00045446,0.00045446,0.00045446
48,179.647,1.89959,1.07319,0.77601,0.78376,0.84169,0.8585,0.4781,1.68421,0.95907,0.83892,0.00045347,0.00045347,0.00045347
49,181.638,1.58579,0.83308,0.78234,0.80509,0.84834,0.86733,0.48158,1.67732,0.94421,0.83998,0.00045248,0.00045248,0.00045248
50,183.481,1.39899,0.7807,0.78761,0.8038,0.85071,0.87918,0.49308,1.65542,0.87377,0.83703,0.00045149,0.00045149,0.00045149
51,185.551,1.73097,0.87436,0.78003,0.83732,0.8538,0.88627,0.5006,1.63038,0.83471,0.83345,0.0004505,0.0004505,0.0004505
52,187.53,1.65718,0.84741,0.77918,0.84143,0.85308,0.88468,0.49908,1.64638,0.83293,0.83404,0.00044951,0.00044951,0.00044951
53,189.305,1.57704,0.78727,0.78045,0.83495,0.86308,0.87962,0.50159,1.63921,0.83054,0.83184,0.00044852,0.00044852,0.00044852
54,193.047,1.56286,0.76674,0.77296,0.83901,0.85215,0.87699,0.49595,1.63236,0.83673,0.82989,0.00044753,0.00044753,0.00044753
