epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9878,1.92623,3.6898,0.94467,0,0,0,0,1.94801,3.63069,0.89875,0,0,0
2,2.61937,2.41376,3.71037,1.01429,0,0,0,0,1.95652,3.62974,0.90213,1.99604e-05,1.99604e-05,1.99604e-05
3,3.09884,2.23388,3.66817,0.9705,0,0,0,0,1.96606,3.63098,0.90469,3.98416e-05,3.98416e-05,3.98416e-05
4,3.48243,2.8195,3.71913,1.01726,0,0,0,0,1.97224,3.6299,0.9076,5.96436e-05,5.96436e-05,5.96436e-05
5,3.82662,2.25916,3.70927,0.96504,0,0,0,0,1.98225,3.63008,0.91042,7.93664e-05,7.93664e-05,7.93664e-05
6,4.31852,2.32494,3.69621,1.00849,0,0,0,0,1.91173,3.61879,0.88321,9.901e-05,9.901e-05,9.901e-05
7,4.87223,2.39339,3.5729,1.05332,0.00778,0.01659,0.00398,0.0013,1.93336,3.59975,0.86749,0.000118574,0.000118574,0.000118574
8,6.02403,1.91869,3.41714,0.90642,0.04444,0.09479,0.02561,0.00835,1.95694,3.54865,0.86293,0.00013806,0.00013806,0.00013806
9,6.72225,2.40222,3.24446,0.95519,0.08778,0.1872,0.0625,0.021,1.86215,3.50852,0.85289,0.000157466,0.000157466,0.000157466
10,7.3043,2.50213,3.06458,0.95308,0.13111,0.27962,0.10447,0.03568,1.80343,3.46461,0.83945,0.000176792,0.000176792,0.000176792
11,7.98341,2.19311,2.75543,0.89216,0.15444,0.32938,0.12853,0.04539,1.89837,3.41424,0.84011,0.00019604,0.00019604,0.00019604
12,8.64752,2.42998,2.57603,0.91075,0.16556,0.35308,0.13926,0.04634,1.98843,3.37134,0.84334,0.000215208,0.000215208,0.000215208
13,9.20932,2.54387,2.43851,0.9259,0.16556,0.35308,0.13855,0.04602,1.9845,3.36933,0.8438,0.000234298,0.000234298,0.000234298
14,9.62295,2.12038,2.22632,0.87797,0.18,0.38389,0.15164,0.05407,1.92887,3.30639,0.84407,0.000253308,0.000253308,0.000253308
15,10.1426,2.20357,2.02467,0.87977,0.18333,0.391,0.14948,0.05288,1.90395,3.23415,0.84137,0.000272238,0.000272238,0.000272238
16,10.7683,2.28422,1.67938,0.86392,0.17444,0.37204,0.15632,0.05502,1.91681,3.16412,0.83919,0.00029109,0.00029109,0.00029109
17,11.5446,2.37715,1.66443,0.87477,0.15889,0.33886,0.16141,0.05739,2.04208,3.0915,0.84412,0.000309862,0.000309862,0.000309862
18,12.038,2.16403,1.45697,0.86849,0.15889,0.33886,0.16141,0.05739,2.04208,3.0915,0.84412,0.000328556,0.000328556,0.000328556
19,12.5602,2.54664,1.64459,0.86798,0.15889,0.33886,0.17094,0.06721,1.99629,3.00693,0.84183,0.00034717,0.00034717,0.00034717
20,13.206,2.58818,1.59544,0.89495,0.15889,0.33886,0.17094,0.06721,1.99629,3.00693,0.84183,0.000365704,0.000365704,0.000365704
21,13.8081,2.60622,1.62491,0.88785,0.15778,0.33649,0.18922,0.06987,1.90954,2.92277,0.8389,0.00038416,0.00038416,0.00038416
22,14.3875,2.2454,1.41503,0.86381,0.15778,0.33649,0.18922,0.06987,1.90954,2.92277,0.8389,0.000402536,0.000402536,0.000402536
23,14.9578,2.24005,1.42484,0.8527,0.15444,0.32938,0.19512,0.07662,1.82463,2.82675,0.83407,0.000420834,0.000420834,0.000420834
24,15.6934,2.21234,1.31892,0.86412,0.15444,0.32938,0.19512,0.07662,1.82463,2.82675,0.83407,0.000439052,0.000439052,0.000439052
25,16.464,2.17091,1.33698,0.86032,0.16222,0.34597,0.22701,0.10059,1.87996,2.71715,0.8377,0.00045719,0.00045719,0.00045719
26,17.0036,2.2848,1.37256,0.87226,0.16222,0.34597,0.22701,0.10059,1.87996,2.71715,0.8377,0.00047525,0.00047525,0.00047525
27,17.551,2.28599,1.28912,0.89186,0.17556,0.37441,0.23623,0.11377,1.91135,2.63469,0.8424,0.00049323,0.00049323,0.00049323
28,18.0486,2.27253,1.20907,0.91184,0.17556,0.37441,0.23623,0.11377,1.91135,2.63469,0.8424,0.000511132,0.000511132,0.000511132
29,18.9531,2.77747,1.51342,0.9358,0.19333,0.41232,0.21609,0.11024,1.87459,2.58503,0.84147,0.000528954,0.000528954,0.000528954
30,19.5027,2.5243,1.34901,0.88925,0.19333,0.41232,0.21609,0.11024,1.87459,2.58503,0.84147,0.000546696,0.000546696,0.000546696
31,20.0334,2.44046,1.29338,0.88468,0.21333,0.45498,0.25676,0.13453,1.83904,2.4914,0.84163,0.00056436,0.00056436,0.00056436
32,20.9165,2.14358,1.24063,0.86564,0.21333,0.45498,0.25676,0.13453,1.83904,2.4914,0.84163,0.000581944,0.000581944,0.000581944
33,21.5815,2.27318,1.23602,0.8789,0.23,0.49052,0.34962,0.18579,1.79206,2.39178,0.83677,0.00059945,0.00059945,0.00059945
34,22.3316,2.13525,1.16216,0.86916,0.23,0.49052,0.34962,0.18579,1.79206,2.39178,0.83677,0.000616876,0.000616876,0.000616876
35,22.9108,2.14966,1.20935,0.87778,0.29333,0.62559,0.51848,0.25371,1.85938,2.26133,0.84039,0.000634222,0.000634222,0.000634222
36,23.438,2.36742,1.22538,0.88211,0.29333,0.62559,0.51848,0.25371,1.85938,2.26133,0.84039,0.00065149,0.00065149,0.00065149
37,23.9795,2.15529,1.1759,0.85645,0.34444,0.7346,0.64035,0.29029,1.94851,2.16509,0.84901,0.000668678,0.000668678,0.000668678
38,24.6655,2.45138,1.24173,0.85907,0.34444,0.7346,0.64035,0.29029,1.94851,2.16509,0.84901,0.000685788,0.000685788,0.000685788
