epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.84615,2.08404,3.60153,0.97842,0,0,0,0,1.91471,3.61301,0.90246,0,0,0
2,8.39198,2.37043,3.58879,1.00067,0,0,0,0,1.90884,3.61101,0.9021,1.99604e-05,1.99604e-05,1.99604e-05
3,8.95201,2.21236,3.5655,0.95747,0,0,0,0,1.90293,3.6114,0.90052,3.98416e-05,3.98416e-05,3.98416e-05
4,9.53164,2.75364,3.67239,0.99476,0,0,0,0,1.89046,3.6074,0.89973,5.96436e-05,5.96436e-05,5.96436e-05
5,9.96703,2.20244,3.5643,0.9471,0,0,0,0,1.88871,3.60688,0.89874,7.93664e-05,7.93664e-05,7.93664e-05
6,10.6163,2.38024,3.62359,0.99951,0.03111,0.06651,0.01693,0.00724,1.8033,3.51724,0.84845,9.901e-05,9.901e-05,9.901e-05
7,11.2254,2.42034,3.47186,1.04182,0.06778,0.14489,0.04063,0.01611,1.90718,3.49872,0.83687,0.000118574,0.000118574,0.000118574
8,11.8568,1.85432,3.40796,0.89993,0.07778,0.16627,0.04793,0.01635,2.03769,3.49538,0.84373,0.00013806,0.00013806,0.00013806
9,12.456,2.33832,3.27708,0.93651,0.02778,0.05938,0.015,0.00557,2.12795,3.54086,0.8473,0.000157466,0.000157466,0.000157466
10,13.1341,2.36984,3.16754,0.92509,0.02778,0.05938,0.01497,0.00467,2.22726,3.54978,0.85233,0.000176792,0.000176792,0.000176792
11,13.9714,2.22965,3.02982,0.88414,0.07111,0.15202,0.04308,0.0133,2.15967,3.50764,0.84825,0.00019604,0.00019604,0.00019604
12,14.6383,2.28663,2.9886,0.90027,0.09333,0.19952,0.05942,0.02171,2.09564,3.46148,0.84859,0.000215208,0.000215208,0.000215208
13,15.2403,2.3657,2.93826,0.90332,0.09778,0.20903,0.06255,0.02153,2.15067,3.46305,0.85212,0.000234298,0.000234298,0.000234298
14,15.8022,2.1508,2.76936,0.87268,0.1,0.21378,0.06451,0.02139,2.14102,3.46275,0.85036,0.000253308,0.000253308,0.000253308
15,16.414,2.2954,2.78826,0.88254,0.11556,0.24703,0.07653,0.02466,2.1303,3.46374,0.84698,0.000272238,0.000272238,0.000272238
16,17.1018,2.28676,2.62785,0.86141,0.13111,0.28029,0.0908,0.03073,2.05332,3.45427,0.84189,0.00029109,0.00029109,0.00029109
17,17.9993,2.34764,2.56751,0.87393,0.15333,0.32779,0.11051,0.04144,1.87124,3.43761,0.82896,0.000309862,0.000309862,0.000309862
18,18.5656,2.08817,2.5013,0.86708,0.15333,0.32779,0.11051,0.04144,1.87124,3.43761,0.82896,0.000328556,0.000328556,0.000328556
19,19.5145,2.6371,2.60237,0.86796,0.14667,0.31354,0.10276,0.03589,1.78709,3.434,0.82267,0.00034717,0.00034717,0.00034717
20,21.4006,2.59895,2.57385,0.89096,0.14667,0.31354,0.10276,0.03589,1.78709,3.434,0.82267,0.000365704,0.000365704,0.000365704
21,23.1925,2.44921,2.57378,0.88044,0.16111,0.34442,0.1154,0.04248,1.75642,3.41316,0.82393,0.00038416,0.00038416,0.00038416
22,24.7325,2.2342,2.19381,0.85869,0.16111,0.34442,0.1154,0.04248,1.75642,3.41316,0.82393,0.000402536,0.000402536,0.000402536
23,26.4321,2.29279,2.14691,0.84749,0.14222,0.30404,0.09735,0.03281,1.79207,3.42004,0.82738,0.000420834,0.000420834,0.000420834
24,28.1965,2.30292,2.19822,0.86161,0.14222,0.30404,0.09735,0.03281,1.79207,3.42004,0.82738,0.000439052,0.000439052,0.000439052
25,29.8746,2.18183,2.24597,0.86005,0.12556,0.26841,0.08207,0.02492,1.93799,3.40146,0.83711,0.00045719,0.00045719,0.00045719
26,31.9841,2.26762,2.01841,0.8666,0.12556,0.26841,0.08207,0.02492,1.93799,3.40146,0.83711,0.00047525,0.00047525,0.00047525
27,33.7079,2.29084,2.14981,0.88097,0.11556,0.24703,0.07337,0.02567,2.219,3.3413,0.85856,0.00049323,0.00049323,0.00049323
28,35.2793,2.27265,1.93659,0.89638,0.11556,0.24703,0.07337,0.02567,2.219,3.3413,0.85856,0.000511132,0.000511132,0.000511132
